# Typekit class table
# format: <PS family name>,<class index> (with no whitespace)
# TK_BLACKLETTER,0
Concave Tuscan,1
Conceal,4
Concert One,1
Condiment,5
Conga Brava Std,5
Conga Brava Stencil Std,1
Consolas,3
Constantia,6
Continuo,1
Contra,6
Contrail One,4
Convergence,4
Cookie,5
Coolvetica Bk,4
Coolvetica El,4
Coolvetica Hv,4
Coolvetica Lt,4
Coolvetica Rg,4
Coolvetica Ul,4
Cooper Black,1
Cooper Hewitt,4
Cooper Std,6
Copal Std,1
Copperplate Gothic Bold,6
Copperplate Gothic Light,6
Copperplate Gothic Std,6
CopperplateBol,6
CopperplateConBol,6
CopperplateConLig,6
CopperplateConMed,6
CopperplateLig,6
CopperplateMed,6
Copse,7
Copystruct,1
Coquette,5
Cora,4
Coranto 2,6
Coranto 2 Headline,6
Corbel,4
Corben,6
Cordale,6
Coriander Std,1
CornDog,1
CornerStoreJF,5
Corona LT Std,6
Coronet LT Std,5
Coronette,6
Corporate A Pro,6
Corporate A Pro Demi,6
Corporate A Pro Light,6
Corporate A Pro Medium,6
Corporate E Pro,7
Corporate E Pro Demi,7
Corporate E Pro Light,7
Corporate E Pro Medium,7
Corporate S Pro,4
Corporate S Pro Demi,4
Corporate S Pro ExtraBold,4
Corporate S Pro Light,4
Corporate S Pro Medium,4
Corpulent,1
Cosmopolitan,5
Costa Std,4
Costa Std Demi,4
Costa Std ExtraBold,4
Costa Std Light,4
Costura,1
Cotton,1
Cottonwood Std,1
Courgette,2
Courier,3
Courier New,3
Courier Prime,3
Courier Std,3
Cousine,3
Coustard,7
Covered By Your Grace,2
Cowboy Hippie Pro,1
Cowboyslang,1
Cowboyslang Condensed,1
Cowboyslang Expanded,1
Crafty Girls,2
CrawModURWBol,7
CrawModURWReg,7
Creepster,1
Crete,7
Crete Round,7
Crimson Text,6
Critter Std,1
Croissant One,6
Cronos Pro,4
Cronos Pro Caption,4
Cronos Pro Display,4
Cronos Pro Light,4
Cronos Pro Light Caption,4
Cronos Pro Light Display,4
Cronos Pro Light Subhead,4
Cronos Pro Subhead,4
Crushed,4
Cubano Italic,4
Cubano Normal,4
Cubano Sharp,4
Cubano Sharp Italic,4
Cubhjktrwcubvnnyhcvjgqfqazb,4
Cuprum,4
Curlz MT,1
Cutive,7
Cutive Mono,3
Cutout Std,1
DDT Bk,4
DDT El,4
DDT Lt,4
DDT Rg,4
DDT Ul,4
DIN 1451 Std,4
DIN 30640 Std,4
DIN Alternate,4
DIN Condensed,4
DIN Condensed Web,4
DISCO,4
DJ Gross,2
DPSDbeyond,1
Daela,1
Dagny Pro,4
Damion,5
Dancer Pro Black,4
Dancer Pro Black Italic,4
Dancer Pro Bold,4
Dancer Pro Bold Italic,4
Dancer Pro Book,4
Dancer Pro Book Italic,4
Dancer Pro Light,4
Dancer Pro Light Italic,4
Dancing Script,2
Dancing Script OT,5
Daniel,2
Daniel Black,2
Dante MT Std,6
Dapifer Black,7
Dapifer Bold,7
Dapifer Book,7
Dapifer Light,7
Dapifer Medium,7
Dapifer Semibold,7
Davys,1
Dawning of a New Day,2
DayPosterBlack,1
Days,4
Days One,4
DeLittle Chromatic,1
DeStencilNF,1
Dearest,0
Dearest Open,0
Dearest Outline,1
Decoration Pi LT Std,4
Dederon S D OT,4
Dederon Std,6
DefaultGothic OT AGauge,4
DefaultGothic OT AGaugeItalic,4
DefaultGothic OT BGauge,4
DefaultGothic OT BGaugeItalic,4
DefaultGothic OT CGauge,4
DefaultGothic OT CGaugeItalic,4
DejaRip,4
DejaRip Medium,4
DejaVu Sans,4
DejaVu Sans Mono,3
DejaVu Serif,6
Dekko,2
Delius,4
Delius Swash Caps,1
Delius Unicase,1
Della Respira,6
Delphin LT Std,5
Delve Hand,2
Denk One,4
Depot New Condensed Lt,4
Depot New Condensed Rg,4
Depot New Condensed Th,4
Depot New Lt,4
Depot New Rg,4
Depot New Th,4
Desdemona,1
Destroy,1
Desyrel,2
Deutsch Gothic,0
Deva Ideal,4
Devanagari Sangam MN,4
Devonshire,2
Devroye,6
Devroye Extra,1
Dfhoavxaqlrxyvsvgeqqgtjkmcx,4
Dhurjati,4
Dhyana,4
Diavlo,4
Didact Gothic,4
DidoniURWDReg,6
Didot,6
Didot LT Std,7
Dienstag,4
Dienstag Black,4
Dienstag Black Oblique,4
Dienstag Bold,4
Dienstag Bold Oblique,4
Dienstag Oblique,4
Digital dream,1
Digital dream Fat,1
Digital dream Fat Narrow,1
Digital dream Fat Skew,1
Digital dream Fat Skew Narrow,1
Digital dream Narrow,1
Digital dream Skew,1
Digital dream Skew Narrow,1
Diner-Fatt,1
Diner-Obese,1
Diner-Regular,1
Diner-Skinny,1
Diotima LT Std,6
Diplomata,1
Diplomata SC,1
Dirtstorm,1
DirtyBakersDozen,1
DirtyBakersDozen Scorch,1
DirtyBakersDozen Spraypaint,1
Diskus LT Std,5
Distant Galaxy,1
District,1
Dited,1
Divulge Lt,4
Divulge Rg,4
Dobkin,5
Dom Casual Std,2
Domine,7
Domus Titling,4
Domyouji,4
Donegal One,6
Doppio One,4
Dorchester Script MT Std,5
Doric LT Std,4
Dorsa,4
Dosis,4
Dr Sugiyama,2
DrawveticaMini,1
Droid Sans,4
Droid Sans Mono,3
Droid Serif,6
Drunk Cowboy,1
Dry Cowboy,1
Duality,1
Duality Sand,1
Duality Steel,1
Dubiel,6
DubielPlain,6
Dubtronic,1
Dubtronic Inline,1
Duc De Berry LT Std,0
Duper Pro,4
Duplexide,1
Duru Sans,4
Dustismo,4
Dustismo Roman,6
DymaxionScript,1
Dynalight,5
EB Garamond,6
Eagle Lake,5
EastMarket,1
Eater,1
Eater Caps,1
Ebony,4
Ebony Bl,4
Ebony Hv,4
Ebony Lt,4
